epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3128,1.55098,3.44433,1.4713,0.00267,0.23292,0.0309,0.0127,2.0766,4.31024,2.02128,0.00025,0.00025,0.07525
2,98.2925,1.50452,2.95584,1.39035,0.75404,0.04616,0.10349,0.0569,1.70415,3.66029,1.72293,0.000499902,0.000499902,0.0494999
3,147.165,1.45967,2.68236,1.37089,0.61733,0.153,0.14876,0.08771,1.55365,3.08866,1.5472,0.000739508,0.000739508,0.0237395
4,194.821,1.4225,2.52794,1.39326,0.54748,0.27761,0.35433,0.18701,1.62983,2.88447,1.51632,0.0009406,0.0009406,0.0009406
5,242.249,1.38874,2.39911,1.35293,0.56631,0.26313,0.36526,0.25228,1.47053,2.82816,1.45798,0.0009208,0.0009208,0.0009208
6,290.93,1.35702,2.25568,1.31385,0.54397,0.38093,0.41899,0.27079,1.49616,3.52546,1.58667,0.000901,0.000901,0.000901
7,342.389,1.40122,2.2311,1.36452,0.48548,0.38176,0.4066,0.24359,1.42348,2.80872,1.48561,0.0008812,0.0008812,0.0008812
8,391.071,1.31004,2.19291,1.32112,0.70366,0.39654,0.42026,0.3084,1.4373,2.59937,1.45547,0.0008614,0.0008614,0.0008614
9,440.542,1.31756,2.08142,1.30411,0.36014,0.46832,0.43587,0.32163,1.41525,2.5988,1.51019,0.0008416,0.0008416,0.0008416
10,486.105,1.23964,2.00601,1.28335,0.73334,0.37574,0.45344,0.30468,1.35449,2.40021,1.40985,0.0008218,0.0008218,0.0008218
11,531.952,1.27873,1.97075,1.27466,0.48868,0.42991,0.45171,0.3214,1.36864,2.35817,1.37364,0.000802,0.000802,0.000802
12,577.998,1.22373,1.84262,1.24237,0.51811,0.48458,0.46643,0.3261,1.40692,2.3634,1.46147,0.0007822,0.0007822,0.0007822
13,627.079,1.26179,1.85506,1.2727,0.6967,0.41763,0.49086,0.33611,1.47925,2.28361,1.51498,0.0007624,0.0007624,0.0007624
14,673.761,1.20814,1.72819,1.21503,0.47971,0.51772,0.495,0.32822,1.41789,2.16371,1.4872,0.0007426,0.0007426,0.0007426
15,719.402,1.1491,1.76373,1.23154,0.51511,0.47185,0.48084,0.32399,1.46407,2.2522,1.48969,0.0007228,0.0007228,0.0007228
16,766.158,1.21131,1.73187,1.2373,0.51504,0.45883,0.47665,0.36416,1.38901,2.19455,1.44437,0.000703,0.000703,0.000703
17,814.712,1.08423,1.62104,1.19277,0.7865,0.42372,0.496,0.3484,1.40176,2.1638,1.44388,0.0006832,0.0006832,0.0006832
18,862.688,1.15684,1.63795,1.21402,0.65346,0.39329,0.50236,0.35426,1.39698,2.13641,1.47551,0.0006634,0.0006634,0.0006634
19,910.734,1.14967,1.64042,1.22888,0.61161,0.46347,0.53077,0.3942,1.36827,2.06004,1.44817,0.0006436,0.0006436,0.0006436
20,958.582,1.12458,1.62304,1.21968,0.61657,0.48651,0.53379,0.40789,1.36801,2.04235,1.42876,0.0006238,0.0006238,0.0006238
21,1007.75,1.09788,1.54987,1.1988,0.53022,0.5122,0.53764,0.39657,1.37258,2.00516,1.41816,0.000604,0.000604,0.000604
22,1054.89,1.06963,1.51272,1.1696,0.68085,0.49317,0.54932,0.39627,1.38318,2.0021,1.45438,0.0005842,0.0005842,0.0005842
23,1100.1,1.05299,1.45429,1.16987,0.6073,0.5569,0.55464,0.40361,1.39933,1.99442,1.43673,0.0005644,0.0005644,0.0005644
24,1145.75,1.04217,1.44625,1.15905,0.59431,0.51582,0.55578,0.40516,1.3646,2.03817,1.42205,0.0005446,0.0005446,0.0005446
